type, ringDim, setup, encryption, cMult, AddMany, total_time, value 
n50x8192-coef-inner, 2048, 25, 760, 653, 19, 1457, 134
n50x8192-coef-inner, 2048, 16, 756, 643, 19, 1434, 134
n50x8192-coef-inner, 2048, 16, 776, 638, 18, 1448, 134
n50x8192-coef-inner, 2048, 16, 767, 652, 18, 1453, 134
n50x8192-coef-inner, 2048, 16, 756, 641, 19, 1432, 134
n50x8192-coef-inner, 2048, 19, 775, 644, 18, 1456, 134
n50x8192-coef-inner, 2048, 16, 765, 645, 19, 1445, 134
n50x8192-coef-inner, 2048, 16, 755, 645, 18, 1434, 134
n50x8192-coef-inner, 2048, 16, 756, 641, 18, 1431, 134
n50x8192-coef-inner, 2048, 16, 773, 647, 19, 1455, 134
n50x8192-coef-inner, 2048, 18, 765, 656, 19, 1458, 134
n50x8192-coef-inner, 2048, 16, 763, 649, 19, 1447, 134
n100x8192-coef-inner, 2048, 24, 1559, 1366, 49, 2998, 268
n100x8192-coef-inner, 2048, 16, 1526, 1299, 39, 2880, 268
n100x8192-coef-inner, 2048, 16, 1554, 1299, 39, 2908, 268
n100x8192-coef-inner, 2048, 16, 1556, 1309, 39, 2920, 268
n100x8192-coef-inner, 2048, 17, 1523, 1295, 40, 2875, 268
n100x8192-coef-inner, 2048, 22, 1541, 1305, 39, 2907, 268
n100x8192-coef-inner, 2048, 16, 1550, 1350, 40, 2956, 268
n100x8192-coef-inner, 2048, 16, 1546, 1300, 38, 2900, 268
n100x8192-coef-inner, 2048, 16, 1527, 1298, 40, 2881, 268
